"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1841328564437692835","Wed Oct 02 04:34:08 +0000 2024","5340","@tanyakanrl Kurang lebih kelebihan Blu by bca Jago Line bank dan Neo bank sama2 gaada min. saldo mengendap &amp; cocok untuk transaksi daily life. Untuk lebih lengkapnya bisa cek gambar di bawah yaa. Coba disesuaikan dengan kebutuhan kamu yaa. Kalau teman2 ada tambahan boleh drop di reply https://t.co/cUWH1vxd4b","1841335835146547222","https://pbs.twimg.com/media/GY29LRsaYAAILcO.png","tanyakanrl","in","Indonesia","31","67","498","https://x.com/DeallsJobs/status/1841335835146547222","1596075737488162816","DeallsJobs"
"1766340949184258308","Sat Mar 09 06:07:54 +0000 2024","1","Minimum Pembelian Rp 100 Ribu dengan Bank Penampung BCA Alokasi Aset di Obligasi Negara Syariah (PBS) dan beberapa di Deposito Bank Syariah Satu-satunya produk Reksa Dana Syariah dalam Top 5 kinerja Return Produk RDO kali ini https://t.co/c3Q3QT9Exo","1766345144524271903","https://pbs.twimg.com/media/GINRivZaUAA9WhZ.jpg","frrlck","in","Indonesia","0","1","0","https://x.com/frrlck/status/1766345144524271903","330234622","frrlck"
"1852677108377727291","Sat Nov 02 11:40:18 +0000 2024","3193","TAKUT BANGET PENIPUAN Temenku kenal dari bumb*e sih. Terus ada tf uang lumayan banyak dr BNI ke BCA tapi nunggu 3-4jam atau 1x 24 jam tapii gak lewat teller. Kira kira nipu atau gimana? Uang segitu banyak katanya dititipkan ketemenku untuk uang akomodasi perusahaan https://t.co/AuUNueEHAK","1852677108377727291","https://pbs.twimg.com/media/GbYIAECbcAArVej.jpg","","in","BCA, Shopeepay, Gopay, Seabank","73","294","247","https://x.com/jokitugasbyrens/status/1852677108377727291","1251496607440187393","jokitugasbyrens"
"1838867347072835751","Thu Sep 26 02:07:01 +0000 2024","1","@guetamii for comparison ini produk rdpu di bareksa. kinerja 1 tahunnya &gt; 2x nettnya deposito (3.25% -20% pajak = 2.6%). NAV rdpu ini kan udah nett ya. minusnya bareksa kustodiannya pake bca jadi kalo transfernya dari bank lain kena mulu BI-fast 2500 kecuali dari bank digital yg free. https://t.co/l5MADgnVHj","1839124484340732340","https://pbs.twimg.com/media/GYXhKK5aMAESB85.jpg","guetamii","in","Indonesia","1","0","0","https://x.com/nerdyluc/status/1839124484340732340","716160799","nerdyluc"
"1413466125371727877","Fri Jul 09 11:52:39 +0000 2021","681","Lotaogaseee sekarang BCA gak mau kalah ikutan bikin Bank Digital juga? Namanya BLU by BCAdigital Ini entitas yg berbeda dari Bank BCA konvensional. Semua serba digital. Mari kita kupas apa kelebihan dan kekurangannya : https://t.co/bsO5YBopJi","1413466125371727877","https://pbs.twimg.com/media/E52j800VgAUMa-Z.jpg","","in","Jakarta Capital Region","56","28","183","https://x.com/BanyuSadewa/status/1413466125371727877","55108943","BanyuSadewa"
"1849792143701016813","Fri Oct 25 12:36:29 +0000 2024","375","Dibalik Bank nomor 1 di Indonesia ada mindset Learning Organization Hari ini kembali ngisi training buat MDP dan WMP BCA di BCA Learning Institute Ini Training center BCA tapi udah kayak kampus. 2 Gedung 10 Lantai. Bisa ada 2000-3000 orang pegawai yang dilatih setiap hari https://t.co/SHTSoWNhpL","1849792143701016813","https://pbs.twimg.com/media/GavIFR5bkAEXWGh.jpg","","in","","4","10","63","https://x.com/MFaizGhifari/status/1849792143701016813","348988180","MFaizGhifari"
"1782988579721089526","Wed Apr 24 04:22:58 +0000 2024","3355","Kita punya cara membuat bukti bakti yang akan terus tumbuh. BCA selalu mengupayakan melalui aktivitas bagi kebaikan putra-putri bangsa masyarakat dan alam. Bakti BCA menggandeng @nicsap &amp; kita semua membuat lebih banyak jejak #BuktiBaktiBCA ke penjuru nusantara. https://t.co/Z5csp3HkDu","1782988579721089526","https://pbs.twimg.com/media/GL5yTQvbUAAeOlm.jpg","","in","","124","73","322","https://x.com/BankBCA/status/1782988579721089526","567255514","BankBCA"
"1785285711861813611","Tue Apr 30 12:30:57 +0000 2024","8","BCA telah menyampaikan laporan kinerja periode kuartal I tahun 2024. Yuk simak highlight pencapaian BCA di video berikut! Pencapaian ini menjadi dorongan bagi kami agar senantiasa memberikan pelayanan yang berkualitas bagi nasabah tercinta BCA Senantiasa di Sisi Anda https://t.co/Hc1InKfUzY","1785285711861813611","https://pbs.twimg.com/media/GMabrzSaYAA_We-.jpg","","in","","0","2","1","https://x.com/BankBCA/status/1785285711861813611","567255514","BankBCA"
"1753720264343609518","Sat Feb 03 10:01:08 +0000 2024","8","BCA telah selesai melaksanakan press conference paparan kinerja keuangan tahun 2023. Simak highlight pencapaian BCA tahun 2023 di video berikut Kami berharap dengan seluruh pencapaian BCA dapat senantiasa memberikan pelayanan yang berkualitas bagi seluruh nasabah tercinta https://t.co/uVxl0Y5K5m","1753720264343609518","https://pbs.twimg.com/media/GFZ3CWabQAAmtIr.jpg","","in","","0","4","1","https://x.com/BankBCA/status/1753720264343609518","567255514","BankBCA"
"1788856574632751474","Fri May 10 09:00:17 +0000 2024","10","BCA dinobatkan menjadi Indonesia's Best for High-Net-Worth &amp; Indonesia's Best for Next-Gen oleh Euromoney Global Private Banking 2024. Penghargaan ini menjadi apresiasi bagi BCA Solitaire &amp; Prioritas yang memberikan kinerja baik. Terima kasih atas kepercayaan nasabah BCA. https://t.co/T4X0K7aUyc","1788856574632751474","https://pbs.twimg.com/media/GNNLhNobIAA7x9D.jpg","","in","","0","1","0","https://x.com/BankBCA/status/1788856574632751474","567255514","BankBCA"
"1781944239762583966","Sun Apr 21 07:13:08 +0000 2024","10","Besok sore Bank BCA akan rilis kinerja kuartal pertama 2024. Semoga emiten perbankan lain hasilnya bagus juga! https://t.co/Az19XH0aAo","1781944239762583966","https://pbs.twimg.com/media/GLq81y3bYAAuPwB.jpg","","in","kokogiovanni@gmail.com","0","0","0","https://x.com/KokoGiovanni/status/1781944239762583966","139982550","KokoGiovanni"
"1852267328052027664","Fri Nov 01 08:31:59 +0000 2024","4","BCA telah menyampaikan laporan kinerja triwulan III tahun 2024. Yuk simak highlight pencapaian BCA! Pencapaian ini menjadi dorongan bagi kami agar senantiasa memberikan pelayanan yang berkualitas bagi seluruh stakeholders dan nasabah tercinta BCA Senantiasa di Sisi Anda https://t.co/44qZ8j72FN","1852267328052027664","https://pbs.twimg.com/media/GbSS628aIAASKc1.jpg","","in","","0","3","2","https://x.com/BankBCA/status/1852267328052027664","567255514","BankBCA"
"1751847686154928612","Mon Jan 29 06:00:10 +0000 2024","16","BCA kembali membukukan pertumbuhan laba bersih yang solid pada kinerja tahun 2023. Hal ini selaras dengan pertumbuhan kredit di seluruh segmen dan peningkatan volume transaksi dan pendanaan https://t.co/F5GcjwUBIS","1751847686154928612","https://pbs.twimg.com/media/GE_QKAAbYAAqxK5.jpg","","in","","0","3","0","https://x.com/BankBCA/status/1751847686154928612","567255514","BankBCA"
"1740689176889291112","Fri Dec 29 11:00:14 +0000 2023","2","BCA berkomitmen untuk mengedepankan nilai environmental social and governance (ESG) dalam operasionalnya Selama 2023 BCA mewujudkan sejumlah pencapaian dari pembiayaan berkelanjutan hingga pengurangan emisi karbon. BCA berharap meningkatkan kinerja perbankan di 2024 https://t.co/lnFpE2EeAk","1740689176889291112","https://pbs.twimg.com/media/GCgric-bYAAH9O5.jpg","","in","","0","3","0","https://x.com/BankBCA/status/1740689176889291112","567255514","BankBCA"
"1816403351233536245","Thu Jul 25 09:21:26 +0000 2024","2","Simak pencapaian BCA di semester I 2024 secara lengkap! Semoga dengan pencapaian kinerja ini BCA bisa terus memberikan pelayanan yang terbaik dan senantiasa di sisi Anda https://t.co/Wt5EccapgN","1816403376080638243","https://pbs.twimg.com/media/GTUpPRgbEAAUKZq.jpg","BankBCA","in","","0","1","0","https://x.com/BankBCA/status/1816403376080638243","567255514","BankBCA"
"1098786220652425216","Fri Feb 22 15:19:52 +0000 2019","2375","Ini dia keseruan di hari pertama #BCAExpoversary2019! Opening ceremony #BCAExpoversary2019 dilakukan oleh Presiden Direktur BCA Jahja Setiaatmadja dan jajaran direksi BCA secara bersamaan untuk membuka #BCAExpoversary secara serentak di kota Jakarta Palembang dan Surabaya. https://t.co/f6oU5JaMPv","1098965604780765184","https://pbs.twimg.com/ext_tw_video_thumb/1098964837772681216/pu/img/-4ATEWdQ1MpuyKoe.jpg","BankBCA","in","","15","45","172","https://x.com/BankBCA/status/1098965604780765184","567255514","BankBCA"
