"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1855928353020362837","Mon Nov 11 10:59:35 +0000 2024","12","Menyimak pemaparan dari Bu Handayani Direktur Konsumer BBRI. Tentang kredit UMKM saat ini dan dividen interim beberapa waktu lalu. Sesi online sudah boleh ada sesi offline juga donk. Biar lebih puas tanya jawab dengan manajemen emiten big bank. @indopremier @EvaMalca https://t.co/XPla2dpxIF","1855928353020362837","https://pbs.twimg.com/media/GcGVAG4boAAmigO.jpg","","in","kokogiovanni@gmail.com","0","1","4","https://x.com/KokoGiovanni/status/1855928353020362837","139982550","KokoGiovanni"
"1127618117172105216","Sun May 12 16:54:43 +0000 2019","283","Somebody said it couldn t be done.. Lol.... GOOFY! 4 splits for the 4 years of hell and growth college put me through! #QuesGraduate https://t.co/bSAZDQzRbQ","1127618117172105216","https://pbs.twimg.com/ext_tw_video_thumb/1127617890495152133/pu/img/KbKadHgpBzg1lkX-.jpg","","en","Cincinnati","16","2","48","https://x.com/DoryanBeach/status/1127618117172105216","2462226247","DoryanBeach"
"1088445816707010561","Thu Jan 24 14:37:59 +0000 2019","279","In the second episode of our new series #Divided musician @yungblud talks mental health gender identity and how old people robbed a generation by voting for Brexit. Watch the first episode on Snapchat: https://t.co/6Q5vKFs1hY https://t.co/7DGGxTPXbD","1088445816707010561","https://pbs.twimg.com/amplify_video_thumb/1088360638571835392/img/nu0i-Vb-wIGyzXDU.jpg","","en","London, UK","81","337","56","https://x.com/SkyNews/status/1088445816707010561","7587032","SkyNews"
"1763512307156717870","Fri Mar 01 10:31:13 +0000 2024","219","JUST IN: RUPS BBRI memutuskan pembagian dividen tunai Rp. 319/ saham. Interim : Rp. 84/saham (sudah dibagikan pada Desember 2023). Sisa : Rp. 235/saham (Ini yang akan dibagikan jadwal menyusul). https://t.co/ScP3JkNO7V","1763512307156717870","https://pbs.twimg.com/media/GHlA8o9bEAAJ037.jpg","","in","Indonesia","23","10","48","https://x.com/doktermarket/status/1763512307156717870","311312187","doktermarket"
"1701982124210041197","Wed Sep 13 15:32:14 +0000 2023","369","#bbred thinks #bb25 is rigged for #bbcirie to win. do we agree? link in bio for full interview! https://t.co/aAiZisBgtj","1701982124210041197","https://pbs.twimg.com/ext_tw_video_thumb/1701982090726932480/pu/img/c9d6cXjOlxYyugjC.jpg","","en","","215","124","34","https://x.com/brkfromreality/status/1701982124210041197","1549476677176008705","brkfromreality"
"1357903294400770054","Sat Feb 06 04:05:48 +0000 2021","919","Divided United https://t.co/3c0eFLClpA","1357903294400770054","https://pbs.twimg.com/media/Etg9e-OXEAErvwl.jpg","","en","","10","9","144","https://x.com/B_Dub3/status/1357903294400770054","138888774","B_Dub3"
"1872958184811577738","Sat Dec 28 10:50:03 +0000 2024","252","Untuk Tahun 2025 Gw tetap pakai skema investasi yang sama seperti tahun 2024 yaitu : - Dividen hunter - Kolektor IPO Sama tambahan 1 lagi - ngurusin $BBRI yg lagi nyangkut 12%. Hahaha Jadi kemungkinan 3 topik di atas yang tetap mendominasi di X gw https://t.co/iELaJfgfIs","1872958184811577738","https://pbs.twimg.com/media/Gf4Vix5awAMYbA-.jpg","","in","jakarta selatan","9","35","15","https://x.com/saptaipb/status/1872958184811577738","1634788663","saptaipb"
"1113690563528859649","Thu Apr 04 06:31:36 +0000 2019","424","Statement knits plaid and colourful puffer jackets. Tiffany Young presents this season s new looks from Divided! Now in store from R 179! #HMDivided https://t.co/DgCqdqva2k","1113690563528859649","https://pbs.twimg.com/amplify_video_thumb/1113690509065715712/img/sd6yKRDiml7we-qx.jpg","","en","South Africa","12","14","194","https://x.com/hmsouthafrica/status/1113690563528859649","1709500339","hmsouthafrica"
"1113747770949505024","Thu Apr 04 10:43:03 +0000 2019","242","VIDEO: Bobi Wine: Some of us(opposition) are saying Museveni is dividing us. He is not we are dividing us. #NBSUpdates #NBSLiveAt1 https://t.co/4L4FJwuEYC","1113753842338942976","https://pbs.twimg.com/ext_tw_video_thumb/1113753680145154048/pu/img/ErpHCS29JpDUOXpx.jpg","nbstv","en","Uganda","9","21","59","https://x.com/nbstv/status/1113753842338942976","344718893","nbstv"
"1838896414572904867","Wed Sep 25 11:00:44 +0000 2024","558","1/ @Bybit_Official is the 8th exchange to support DBR's claim-to-CEX flow. Eligible recipients can now claim DBR off-chain directly in their Bybit accounts in advance for distribution at TGE https://t.co/p2h1yOdSdp","1838896414572904867","https://pbs.twimg.com/media/GYUSirGaYAAfo1k.jpg","","en","","24","50","61","https://x.com/deBridgeFdn/status/1838896414572904867","1816528629238575104","deBridgeFdn"
"1671086323971633155","Tue Jun 20 09:23:21 +0000 2023","417","The B.R.I.C.S Alliance explained //THREAD// https://t.co/M63QPnq5pd","1671086323971633155","https://pbs.twimg.com/media/FzDkJ3WWcAAo80v.jpg","","en","Newsletter:","8","16","66","https://x.com/EntrepBuilder_/status/1671086323971633155","1353112746641002498","EntrepBuilder_"
"1485658693219852292","Mon Jan 24 17:00:09 +0000 2022","979","Joe Biden is the Divider-in-Chief! IMPEACH--&gt; https://t.co/AA672GeCV4 https://t.co/hz59Q1XYyZ","1485658693219852292","https://pbs.twimg.com/media/FJ4etHFXsAUEbSO.jpg","","en","USA","60","712","216","https://x.com/ACTBrigitte/status/1485658693219852292","722528529716383744","ACTBrigitte"
"1840780141490012667","Mon Sep 30 15:46:00 +0000 2024","232","பாஜக இந்தியா அளவில் Rss VS BJP என இரண்டாக உடைந்திருக்கிறது.ஆட்சியில் இருப்பதால் பிளவு வெளியே தெரியவில்லை.மூன்று மாநில தேர்தல் தோல்வி இந்த பிளவை வெளியில் தெரியும்படி வெடிக்க வைக்க போகிறது!குஜராத்vs நாக்பூர் மோதலில் அகில இந்திய தலைவரை கூட தேர்ந்தெடுக்க பாஜக தினறுகிறதாம்! ENDGAME! https://t.co/C1vKH82Go1","1840780141490012667","https://pbs.twimg.com/media/GYvDx-WawAANg8g.jpg","","ta","Chennai, India","3","22","64","https://x.com/sathrak1967/status/1840780141490012667","1580228503773093889","sathrak1967"
"1088445816707010561","Thu Jan 24 18:14:51 +0000 2019","530","You can now watch episode two of #Divided in full featuring @yungblud on YouTube ⬇️ https://t.co/QdbkMsleMT","1088500393984880640","","SkyNews","en","London, UK","3","24","63","https://x.com/SkyNews/status/1088500393984880640","7587032","SkyNews"
"1376481962030891012","Mon Mar 29 10:30:48 +0000 2021","425","Dividen 4 besar bank di Indonesia (2020): $BBRI : Rp 98 per lembar yield 2% $BMRI : Rp 220 per lembar yield 3 4% $BBCA : Rp 528 per lembar yield 1 6% $BBNI : Rp 44 per lembar yield 0 72%","1376481962030891012","","","in","Jakarta Capital Region","56","30","181","https://x.com/BigAlphaID/status/1376481962030891012","958566590768926721","BigAlphaID"
"1842704132680949773","Sat Oct 05 23:11:15 +0000 2024","514","Every time I see this I want to cry they have their own divider https://t.co/oERV6fUjQ9","1842704132680949773","https://pbs.twimg.com/media/GZKZoyIXAAAZ7VL.jpg","","en","he - MA - 22","2","5","17","https://x.com/L1K3AR1TUAL/status/1842704132680949773","1049434120542138368","L1K3AR1TUAL"
"1519024050705731584","Tue Apr 26 18:42:10 +0000 2022","476","Here is a snippet of DIVIDED the Documentary. London s overlooked voices are finally been heard! #tfl #London #Documentary #ltn https://t.co/fkPkwCBntj","1519024050705731584","https://pbs.twimg.com/ext_tw_video_thumb/1519023954060619778/pu/img/hFlr30TLDXgO2gBx.jpg","","en","","83","94","315","https://x.com/rowdysharman/status/1519024050705731584","1415738049791725571","rowdysharman"
"1759013556056449398","Sun Feb 18 00:34:47 +0000 2024","329","We believe $BBBYQ is undergoing a divisive reorganization in Chapter 11 a tax efficient manner of extracting a valuable subsidiary trapped under a corporate umbrella Ryan Cohen suggested this and was denied Sixth Street appear to have been working towards this. This is just https://t.co/HJ8aCV7X3p","1759013556056449398","https://pbs.twimg.com/media/GGlAbkPXUAAGgdc.png","","en","London ","0","9","109","https://x.com/PhantomBlack699/status/1759013556056449398","1667205551871213569","PhantomBlack699"
"1741446492706271696","Sun Dec 31 13:09:33 +0000 2023","2067","BPD splitting is fully hating something/someone in the moment but as soon as the moment passes you feel unbearable shame guilt and humiliation.","1741446492706271696","","","en","","57","9","447","https://x.com/thatgrlsanalien/status/1741446492706271696","1640424592593522689","thatgrlsanalien"
"1870031056755405011","Fri Dec 20 08:58:42 +0000 2024","0","Siap Siap Ada Kado Nataru Dividen Interim : BBRI - ADRO https://t.co/hJJfUYfBJf","1870031056755405011","","","in","Jakarta Capital Region","0","0","0","https://x.com/cnbcindonesia/status/1870031056755405011","847372542830444544","cnbcindonesia"
"1432117264426405890","Sun Aug 29 23:05:37 +0000 2021","448","SPLIT BOBINAS 12/12 FNCS GRAND FINALS @diguerafn @rynmfn https://t.co/mjFoeCfmlZ","1432117264426405890","https://pbs.twimg.com/ext_tw_video_thumb/1432116397824434185/pu/img/nTQLWx59gDlQ7mwW.jpg","","en","","0","12","9","https://x.com/kbrfps/status/1432117264426405890","956663896923918336","kbrfps"
"1836154094009864622","Tue Sep 17 21:23:44 +0000 2024","1850","bow dividers ----𝜗𝜚 ⋆˖⁺‧₊ 𝜗𝜚₊‧⁺˖⋆ 𝜗𝜚---- ⋆ ₊˚ ʚ 𝜗𝜚 ɞ ˚₊⋆ ⊹ꕀ⊹୨ 𝜗𝜚 ୧⊹ꕀ⊹ ꒰ ʚ 𝜗𝜚 ɞ ꒱ ⋘ » 𝜗𝜚 « ⋙","1836154094009864622","","","und","adult ෆ/ ig : friebbles ෆ ","0","0","349","https://x.com/friebbles/status/1836154094009864622","1344404489051189248","friebbles"
"1848271467949052072","Mon Oct 21 07:53:51 +0000 2024","3069","bow dividers ⊹ ࣪ ˖ 𝜗𝜚 ⊹ ࣪ ˖ ୨୧‿‿‿ 𝜗𝜚 ‿‿‿୨୧ ◞ 𝜗𝜚 ◟ ͜ ◞ 𝜗𝜚 ◟ ͜ ◞ 𝜗𝜚 ◟ .・゜﹒ 𝜗𝜚 ﹒゜・． ୨﹒˖˚──﹕ 𝜗𝜚 ﹕──˚˖﹒୧","1848271467949052072","","","und","adult ෆ/ ig : friebbles ෆ ","1","0","563","https://x.com/friebbles/status/1848271467949052072","1344404489051189248","friebbles"
"1126855007989633025","Fri May 10 14:22:24 +0000 2019","253"," @edsheeran's 'Divide' has become #BRITcertified 11x Platinum alongside 'Kiss Me' going Gold what a legend! https://t.co/f5ny4ShNMd","1126855007989633025","https://pbs.twimg.com/media/D6NkpygXkAE6oz5.jpg","","en","London, UK","5","1","60","https://x.com/BRITs/status/1126855007989633025","88442109","BRITs"
"1227299008067981312","Tue Feb 11 18:31:00 +0000 2020","201","Family. Marriage. Love. Divorce. Here's everything you need to know about #TheSplit so far. https://t.co/LmsyznhDN0","1227299008067981312","https://pbs.twimg.com/media/EQLJJpIW4AEPnzp.jpg","","en","","16","9","33","https://x.com/BBCOne/status/1227299008067981312","871686942","BBCOne"
