"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1854840391725728174","Fri Nov 08 10:56:25 +0000 2024","19674","Selain Mixue ada lagi yang punya cabang di mana-mana btw yaitu bank BRI‍️ Sebelum beli lot BBRI kemarin aku sempat kepoin soal sejarahnya buat tau track record &amp; perjalanan bank ini. Ternyata seru juga! BRI pertama kali berdiri di Purwokerto th 1895 awalnya menarik banget. https://t.co/RqFFFakcZc","1854840391725728174","https://pbs.twimg.com/media/Gb23gQ8bwAIAo5O.jpg","","in","","224","181","2594","https://x.com/senjatanuklir/status/1854840391725728174","1080481376623722507","senjatanuklir"
"1854840391725728174","Fri Nov 08 11:00:22 +0000 2024","518","Setelah kita merdeka BRI jadi bank pemerintah pertama di Indonesia. Sampai Juni 2023 BRI punya 7.980 outlet jaringan kantor banyak banget sampe di New York pun ada di TAIPEI JUGAA sumpah w 2 minggu lalu keluar MRT Nanjing Fuxing ngeliat tbtb ada logo BRI kaget bgt https://t.co/KC4i9DNpvN","1854841387101175948","https://pbs.twimg.com/media/Gb24Z80aMAAsR7_.jpg","senjatanuklir","in","","13","9","31","https://x.com/senjatanuklir/status/1854841387101175948","1080481376623722507","senjatanuklir"
"1199215546807439360","Wed Nov 27 05:03:20 +0000 2019","346","@428mkh Pelayanan bank terburuk jatuh kepada teller bank BRI. Serius udh k bbrapa KCP rata2 pada begitu.","1199554273815609345","","428MKH","in","bukan di Bandung","44","134","128","https://x.com/imvibbyy/status/1199554273815609345","881104347509043201","imvibbyy"
"1851471068449710306","Wed Oct 30 03:47:56 +0000 2024","178","dari taun ke taun kinerja positif bri mengalami peningkatan yg sangat signifikan dari taun sebelumnya sebesar 45 36 triliun laba bersih #BRITerusPerkuatUMKM https://t.co/5SMUkwvf5d https://t.co/2RmO7d8MPr","1851471068449710306","https://pbs.twimg.com/ext_tw_video_thumb/1851470709488529408/pu/img/3J0mw2Z33Q_0xwCB.jpg","","in","Cilacap, Jawa Tengah","0","225","170","https://x.com/kudila_/status/1851471068449710306","1164045379526000640","kudila_"
"1807679137974534386","Mon Jul 01 07:34:26 +0000 2024","56","Lagi-lagi BRI dapat 11 penghargaan Internasional! Kinerja cemerlang BRI menghasilkan awards International dari Finance Asia. Salah satunya CEO BRI Group Bapak Sunarso dinobatkan sebagai Best CEO of The Year. Apresiasi setinggi-tinggi nya atas seluruh dedikasi Insan BRILiaN https://t.co/9vGmyU4Vwp","1807679137974534386","https://pbs.twimg.com/amplify_video_thumb/1807678814836924416/img/4X93Df-Y0cCOYCgN.jpg","","in","Jl Jend Sudirman 44-46 Jakarta","0","67","3","https://x.com/BANKBRI_ID/status/1807679137974534386","1355939492","BANKBRI_ID"
"1846208162640416955","Tue Oct 15 15:15:01 +0000 2024","0","Dirut BRI Sunarso Berbagi soal Mengukur Keberhasilan Corporate Culture Melalui Kinerja Date: 15 Juli 2021 Source: Bank BRI https://t.co/Vvv3CUtnfx","1846208162640416955","https://pbs.twimg.com/ext_tw_video_thumb/1846208085528137737/pu/img/nfcnojAeNR0w_BWs.jpg","","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/Olenka_News/status/1846208162640416955","1740205989998313472","Olenka_News"
"1869307062595018815","Wed Dec 18 09:01:48 +0000 2024","0","Bank BRI bukan bank rakyat Indonesia yang pro rakyat..simak vidio ini sampai habis.biar TDK gagal paham. Kalo pro rakyat tlg viralkan biar yg kuasa bank BRI benahin kinerja bank BRI . https://t.co/L4hZVWkKvb","1869307062595018815","https://pbs.twimg.com/ext_tw_video_thumb/1869306359621234688/pu/img/hIOOwh0E9SCokoug.jpg","","in","","0","2","0","https://x.com/DDaroto/status/1869307062595018815","1483723594102632448","DDaroto"
"1281429462580465664","Fri Jul 10 03:26:06 +0000 2020","545","Kinerja harga bbrapa saham unggulan dan emas sepanjang Jan - Juli 2020 : Saham Astra anjlok 29% Bank BRI anjlok 28% Bank Mandiri minus 29% Telkom minus 21% BCA minus 9% Unilever minus 5% Emas naik 23% Pahami risiko investasi. Lakukan diversifikasi.","1281429462580465664","","","in","","45","44","349","https://x.com/Strategi_Bisnis/status/1281429462580465664","190535830","Strategi_Bisnis"
"1854840391725728174","Fri Nov 08 11:04:29 +0000 2024","363","Karena dr sejarahnya juga BRI dibangun supaya rakjat bisa nabung ngindarin rentenir ngelola dana masjid dll BRI juga sampai skrg mendukung iklusi dan literasi finansial rakjat dengan kehadiran BRILink layanannya sampai ke desa-desa terpentjil. Dr dulu konsisten memberi https://t.co/w4eVJHaxto","1854842423610089751","https://pbs.twimg.com/media/Gb25WaTa0AA61-E.jpg","senjatanuklir","in","","9","15","16","https://x.com/senjatanuklir/status/1854842423610089751","1080481376623722507","senjatanuklir"
"1823566465145999821","Wed Aug 14 03:45:00 +0000 2024","0","keren banget loh kinerja nya bank bri sukses banget dengan #SatuJutaAgenBRILink mampu melayani transaksi keuangan di masyarakat https://t.co/6Uq766S7Uv cek info lengkapnya disini say https://t.co/gY7sZffbnl","1823566465145999821","https://pbs.twimg.com/ext_tw_video_thumb/1823562380741431296/pu/img/N8JIa5hrROEMFd5D.jpg","","in","","0","0","3","https://x.com/textcicicuit/status/1823566465145999821","1566271836559577093","textcicicuit"
