"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1279988443070828544","Mon Jul 06 04:00:00 +0000 2020","288","Bank Indonesia mewajibkan penggunaan PIN untuk semua transaksi kartu kredit di Indonesia efektif 1 Juli 2020. Benarkah pernyataan tersebut? Cek jawabannya di https://t.co/axVg2gi1ji #tebakanmandiri https://t.co/T12bnnTuIg","1279988443070828544","https://pbs.twimg.com/amplify_video_thumb/1279979450088566784/img/xEbwT6Hfg27ord7-.jpg","","in","","5","78","59","https://x.com/undefined/status/1279988443070828544","115848008",
"1219484452864151552","Tue Jan 21 04:58:45 +0000 2020","241","Mau bisnis makin cuan? Pakai mandiri tabungan bisnis. - Gratis biaya transfer - Gratis biaya kliring - Gratis biaya RTGS https://t.co/7eO2s3OJfU *syarat dan ketentuan berlaku #mandiritabungan #mandiritabunganbisnis #laurabasuki #marcusgideon #kevinsanjaya #mandiripromo https://t.co/vSGWi2I83J","1219484452864151552","https://pbs.twimg.com/ext_tw_video_thumb/1219484366956457987/pu/img/bZCYaKUFjVkZ48K4.jpg","","in","","39","39","37","https://x.com/undefined/status/1219484452864151552","2278761810",
"1152512843939319809","Sat Jul 20 09:37:29 +0000 2019","322","Sahabat layanan Bank Mandiri sudah pulih kembali &amp; telah beroperasi secara normal. Sekali lagi mohon maaf ya sedikit mengganggu weekendnya. Kami sadar masih ada kekurangan dalam pelayanan kami tapi percaya deh kalau kami akan terus meningkatkan layanan untuk sahabat tercinta :) https://t.co/00gw522BqE","1152512843939319809","https://pbs.twimg.com/ext_tw_video_thumb/1152512793645420544/pu/img/LGYdtDPvjpuoXQLJ.jpg","","in","","59","308","288","https://x.com/undefined/status/1152512843939319809","2278761810",
"1152442549711208448","Sat Jul 20 04:58:09 +0000 2019","502","Mohon maaf atas ketidaknyamanan yang dialami nasabah terkait dengan perubahan saldo rekening. Corporate Secretary Rohan Hafas menyampaikan saldo nasabah akan segera pulih dalam waktu 2-3 jam ke depan karena sebelum perpindahan ini selalu dilakukan backup data saldo nasabah. https://t.co/HjfFiyHqa8","1152442549711208448","https://pbs.twimg.com/media/D_5MXxsUIAAn0C1.jpg","","in","","283","392","836","https://x.com/undefined/status/1152442549711208448","2278761810",
"1152449126753193984","Sat Jul 20 05:24:17 +0000 2019","253","Mohon maaf atas ketidaknyamanan yang dialami nasabah terkait dengan perubahan saldo rekening. Corporate Secretary Rohan Hafas menyampaikan saldo nasabah akan segera pulih dalam waktu 2-3 jam ke depan karena sebelum perpindahan ini selalu dilakukan backup data saldo nasabah. https://t.co/f3t8qXLTN0","1152449126753193984","https://pbs.twimg.com/media/D_5SV-aU8AAuRob.jpg","","in","","125","407","384","https://x.com/undefined/status/1152449126753193984","589600174",
"1882790938558537812","Fri Jan 24 14:01:54 +0000 2025","5","Bank Mandiri melalui aksi tanggap darurat bersama MAI hadir memberikan dukungan bagi para korban kebakaran di wilayah Kemayoran Gempol. Dengan menyediakan makanan siap saji pakaian pelayanan kesehatan keliling peralatan sekolah serta layanan psikososial untuk anak-anak https://t.co/seasRDN4QI","1882790938558537812","https://pbs.twimg.com/amplify_video_thumb/1882790494738296833/img/RH_ALh5cNC0CAiAr.jpg","","in","","0","0","0","https://x.com/undefined/status/1882790938558537812","2278761810",
"1438774733512724485","Fri Sep 17 08:00:02 +0000 2021","2510","Transaksi pake Livin by Mandiri dapat cashback biaya transaksi selama 3 bulan! Yuk segera buka tabungan dan aktivasi Livin by Mandiri. Program berlaku hingga 31 Oktober 2021. Info: https://t.co/XqpjhF9Ejt #livinbymandiri #promopakelivin https://t.co/XYo79L0lnw","1438774733512724485","https://pbs.twimg.com/media/E_eN_lNVgAAp3wO.jpg","","in","","8","133","109","https://x.com/undefined/status/1438774733512724485","2278761810",
"1511616756074176513","Wed Apr 06 08:08:13 +0000 2022","506","Lancar Ibadah dan Silaturahmi lebih hemat pake #mandiricard #mandiridebit Livin poin dan Livin by Mandiri. Dapatkan diskon hingga 50% di berbagai merchant yang berpartisipasi. Info: https://t.co/Ms8sPK70Wz #mandiripromo #promopakelivin #livintumpahbarokah","1511616756074176513","","","in","","1","14","26","https://x.com/undefined/status/1511616756074176513","2278761810",
"1763240545454088689","Thu Feb 29 16:31:20 +0000 2024","131","Presiden @jokowi melakukan groundbreaking kantor PT Bank Mandiri di Kawasan IKN Penajam Paser Utara Kalimantan Timur Kamis (29/02/2024) siang. Presiden mengapresiasi pembangunan kantor yang dikhususkan untuk pelayanan digital tersebut. #PotretKabinet Foto: Humas Setkab/Baim https://t.co/JhHFGIKkd4","1763240545454088689","https://pbs.twimg.com/media/GHhJ6V4bMAAwtAb.jpg","","in","","0","3","20","https://x.com/undefined/status/1763240545454088689","260686783",
"1793117380161491264","Wed May 22 03:11:12 +0000 2024","2","Tingkatkan Kualitas Pelayanan Publik Bank Mandiri Berikan Sosialisasi Pelayanan Prima Kepada Petugas Lapas Narkotika Pangkalpinang #PemasyarakatanPastiBerdampak #KumhamPasti #KumhamBabel #LapasNarkotikaPangkalpinang #LapastikaPastiBertimah https://t.co/D73NU9DrPp","1793117380161491264","https://pbs.twimg.com/media/GOJusuOacAA_kjO.jpg","","in","","0","1","3","https://x.com/undefined/status/1793117380161491264","1224573022536749056",
